"Question","Answer","Keywords"
"Hi","Hello how can I help you","hi,Hi"
"Hello","Hello how can I help you","hello,Hello"
"Hey","Hello how can I help you","hey,Hey"
"Who are you?","Im your virtual assistant","who,Who"
"What is a noun?","A noun is a word that names a person, place, thing, or idea. Examples include 'teacher,' 'city,' and 'happiness.'","noun, person, place, thing, idea"
"What is a verb?","A verb is a word that describes an action or a state. For example, 'run,' 'is,' and 'think' are verbs.","verb, action, state"
"Can you explain adjectives?","An adjective is a word that describes a noun, giving more information about it, like 'big,' 'blue,' or 'happy.'","adjective, describes, noun"
"Give me an example of a past tense verb","Sure! In the sentence 'She walked to school,' 'walked' is the past tense form of the verb 'walk.'","past tense, verb, example"
"What is a synonym for happy?","A synonym for 'happy' is 'joyful' or 'content.' Both words mean a similar positive feeling.","synonym, happy, joyful, content"
"What’s the difference between 'their' and 'there'?","'Their' shows possession, as in 'their house,' while 'there' refers to a place, as in 'over there.'","their, there, difference, possession, place"
"How do I use 'too' in a sentence?","'Too' means 'also' or 'excessively.' For example, 'I want to go too' (also) or 'This soup is too hot' (excessive).","too, also, excessively"
"What are conjunctions?","Conjunctions are words that link phrases, clauses, or words together. Examples include 'and,' 'but,' and 'or.'","conjunctions, link, words, phrases"
"Give an example of an adverb","An adverb modifies a verb, adjective, or other adverbs. In 'She sings beautifully,' 'beautifully' describes how she sings.","adverb, modifies, verb, adjective"
"What are homophones?","Homophones are words that sound the same but have different meanings, like 'two' and 'too,' or 'right' and 'write.'","homophones, sound the same, different meanings"
"Explain the difference between 'its' and 'it’s'","'Its' is possessive, like 'its color,' while 'it’s' is a contraction for 'it is.'","its, it's, possessive, contraction"
"What does 'present continuous' mean?","The present continuous tense describes actions happening now. For example, 'She is reading a book.'","present continuous, tense, actions, now"
"Can you give me an example of a compound sentence?","Sure! 'I wanted to go for a walk, but it started raining.' It combines two ideas using 'but.'","compound sentence, example"
"What are irregular verbs?","Irregular verbs are verbs that don't follow regular rules for past tense, like 'go' (went) or 'see' (saw).","irregular verbs, past tense"
"How do you form the plural of most nouns?","To form the plural, add '-s' or '-es' to most nouns. For example, 'book' becomes 'books,' and 'class' becomes 'classes.'","plural, nouns, form, s, es"
"What is a preposition?","A preposition shows the relationship between nouns and other parts of a sentence. Examples include 'in,' 'on,' and 'between.'","preposition, relationship, nouns"
"How do I use 'because' in a sentence?","'Because' is used to give reasons. For example, 'I stayed home because it was raining.'","because, reasons"
"Can you explain the future tense?","The future tense describes actions that will happen. For example, 'I will study tomorrow.'","future tense, actions"
"What is a metaphor?","A metaphor is a figure of speech that compares two things without 'like' or 'as,' e.g., 'Time is a thief.'","metaphor, figure of speech, comparison"
"Explain the difference between 'affect' and 'effect'","'Affect' is a verb meaning 'to influence,' while 'effect' is a noun meaning 'the result.'","affect, effect, difference, verb, noun"
"Explain adverbs","An adverb modifies a verb, adjective, or another adverb, explaining how, when, or where something happens. Examples include 'quickly,' 'yesterday,' and 'outside.'","adverb, modifies, verb, adjective"
"Give examples of irregular verbs","Some irregular verbs include 'go' (went), 'see' (saw), and 'buy' (bought). These verbs don't follow the usual past tense rule.","irregular verbs, examples"
"How do I use 'either' and 'neither'?","'Either' is used when one of two options is possible; 'neither' means none of the options. For example, 'You can have either cake or pie,' or 'Neither cake nor pie is available.'","either, neither, options"
"Explain possessive pronouns","Possessive pronouns show ownership, like 'mine,' 'yours,' 'his,' 'hers,' 'ours,' and 'theirs.'","possessive pronouns, ownership"
"How do I use 'for' and 'since'?","'For' is used with a period, like 'for two hours,' and 'since' with a starting point, like 'since morning.'","for, since, time"
"Explain the difference between 'who' and 'whom'","'Who' is used as the subject of a sentence, while 'whom' is used as the object. Example: 'Who is going?' vs. 'Whom did you call?'","who, whom, difference"
"How to form a question?","Form questions by placing a helping verb before the subject, like 'Is she coming?' or 'Do you know the answer?'","form, question, helping verb"
"Explain synonyms and antonyms","Synonyms are words with similar meanings, like 'happy' and 'joyful.' Antonyms are opposites, like 'hot' and 'cold.'","synonyms, antonyms, opposite, similar meanings"
"Give examples of collective nouns","Collective nouns represent a group, such as 'team,' 'class,' and 'flock.'","collective nouns, group"
"Explain reflexive pronouns","Reflexive pronouns refer back to the subject, like 'myself,' 'yourself,' and 'themselves.'","reflexive pronouns, subject"
"What is a reflexive pronoun?","A reflexive pronoun refers back to the subject of the sentence. Examples include 'myself,' 'yourself,' 'himself,' and 'themselves.'","reflexive pronoun"
